flights,departure_lat,departure_lng,arrival_lat,arrival_lng,year,node_dc,urban_group
2836,25.101944,102.929169,37.746891,112.628403,2015,0.641379,none
2830,37.746891,112.628403,25.101944,102.929169,2015,0.328736,none
2829,32.851353,103.685263,30.57852,103.946999,2015,0.009195,none
2826,24.544029,118.127701,36.857208,117.215897,2015,0.436782,none
2825,28.196667,113.220833,29.71921,106.641602,2015,0.510345,none
2821,36.857208,117.215897,24.544029,118.127701,2015,0.390805,none
2817,29.71921,106.641602,28.196667,113.220833,2015,0.696552,none
2811,23.392429,113.298698,36.857208,117.215897,2015,0.675862,prd
2810,22.63925,113.8106,31.986345,116.970474,2015,0.63908,prd
2809,36.857208,117.215897,23.392429,113.298698,2015,0.390805,none
2808,31.986345,116.970474,22.63925,113.8106,2015,0.28046,yrd
2792,31.14337,121.805199,36.266102,120.374397,2015,0.772414,yrd
2790,34.519669,113.840797,24.544029,118.127701,2015,0.478161,none
2787,29.71921,106.641602,19.934851,110.4589,2015,0.696552,none
2784,24.544029,118.127701,34.519669,113.840797,2015,0.436782,none
2780,19.934851,110.4589,29.71921,106.641602,2015,0.526437,none
2770,18.302891,109.412201,30.57852,103.946999,2015,0.335632,none
2769,30.57852,103.946999,18.302891,109.412201,2015,0.721839,none
2767,23.392429,113.298698,29.826679,121.461899,2015,0.675862,prd
2766,30.57852,103.946999,28.196667,113.220833,2015,0.721839,none
2765,24.544029,118.127701,29.71921,106.641602,2015,0.436782,none
2764,29.826679,121.461899,23.392429,113.298698,2015,0.365517,yrd
2762,28.196667,113.220833,30.57852,103.946999,2015,0.510345,none
2760,29.71921,106.641602,24.544029,118.127701,2015,0.696552,none
2758,31.196099,121.339766,30.783751,114.208099,2015,0.358621,yrd
2757,30.783751,114.208099,31.196099,121.339766,2015,0.425287,none
2751,36.266102,120.374397,38.96566,121.538597,2015,0.445977,none
2734,38.96566,121.538597,36.266102,120.374397,2015,0.441379,none
2730,19.934851,110.4589,34.519669,113.840797,2015,0.526437,none
2725,34.519669,113.840797,19.934851,110.4589,2015,0.478161,none
2721,36.266102,120.374397,31.14337,121.805199,2015,0.445977,none
